"time","model","forecast","upper80","upper95","lower80","lower95"
2007-12-01,"STL",20419.6262384202,21035.9433551119,21362.2019288943,19803.3091217284,19477.050547946
2008-01-01,"STL",22569.0605793065,23250.2531819658,23610.8547635148,21887.8679766472,21527.2663950983
2008-02-01,"STL",21049.374306136,21678.2449793663,22011.1490045588,20420.5036329057,20087.5996077133
2008-03-01,"STL",19456.8103684011,20028.1736465444,20330.6350956751,18885.4470902578,18582.9856411271
2008-04-01,"STL",22935.280677157,23576.6386024283,23916.1529795499,22293.9227518858,21954.4083747642
2008-05-01,"SNAIVE",22510,23615.9108095832,24201.3446287863,21404.0891904168,20818.6553712137
2008-06-01,"SNAIVE",19721,20839.3604381802,21431.3846926645,18602.6395618198,18010.6153073355
2008-07-01,"SNAIVE",20664.4545454545,21892.1890676288,22542.1124647561,19436.7200232803,18786.796626153
2008-08-01,"SNAIVE",20680.9090909091,21727.8577940892,22282.0789595768,19633.960387729,19079.7392222414
2008-09-01,"SNAIVE",22829.2105263158,23929.8800011212,24512.5392252937,21728.5410515104,21145.8818273379
2008-10-01,"SNAIVE",23363,24564.5335399591,25200.5869749229,22161.4664600409,21525.4130250771
2008-11-01,"SNAIVE",19346.3636363636,20395.441444161,20950.7896895513,18297.2858285662,17741.937583176
2008-12-01,"SNAIVE",22188.1578947368,23287.3495345518,23869.2264401367,21088.9662549218,20507.089349337
2009-01-01,"SNAIVE",21822.8571428571,22806.7655845042,23327.6152513565,20838.94870121,20318.0990343578
2009-02-01,"SNAIVE",19726.6666666667,20780.3795556245,21338.1814647664,18672.9537777088,18115.1518685669
2009-03-01,"COMBINED",22455.6661503034,22455.6661503034,22455.6661503034,22455.6661503034,22455.6661503034
2009-04-01,"COMBINED",19743.799559581,19743.799559581,19743.799559581,19743.799559581,19743.799559581
2009-05-01,"ARIMAX",21017.6371970321,21017.6371970321,21017.6371970321,21017.6371970321,21017.6371970321
2009-06-01,"ARIMAX",19822.5162527095,19822.5162527095,19822.5162527095,19822.5162527095,19822.5162527095
2009-07-01,"ARIMAX",20207.346289974,20207.346289974,20207.346289974,20207.346289974,20207.346289974
2009-08-01,"9-MA",21308.3656668789,21432.7321903142,21498.5678509885,21183.9991434436,21118.1634827694
2009-09-01,"COMBINED",22215.1075853354,22215.1075853354,22215.1075853354,22215.1075853354,22215.1075853354
2009-10-01,"5-MA",21937.6108798563,22405.1140762991,22652.5953192815,21470.1076834134,21222.6264404311
2009-11-01,"COMBINED",20655.5574706439,20655.5574706439,20655.5574706439,20655.5574706439,20655.5574706439
2009-12-01,"9-MA",22325.3466901564,22591.1091601719,22731.7953135885,22059.5842201408,21918.8980667242
2010-01-01,"COMBINED",20871.3206066488,20871.3206066488,20871.3206066488,20871.3206066488,20871.3206066488
2010-02-01,"COMBINED",20046.0885074213,20046.0885074213,20046.0885074213,20046.0885074213,20046.0885074213
2010-03-01,"COMBINED",23392.0557742301,23392.0557742301,23392.0557742301,23392.0557742301,23392.0557742301
2010-04-01,"COMBINED",20123.9641678161,20123.9641678161,20123.9641678161,20123.9641678161,20123.9641678161
2010-05-01,"COMBINED",19953.7812770478,19953.7812770478,19953.7812770478,19953.7812770478,19953.7812770478
2010-06-01,"COMBINED",21684.6427035779,21684.6427035779,21684.6427035779,21684.6427035779,21684.6427035779
2010-07-01,"COMBINED",20661.7777839976,20661.7777839976,20661.7777839976,20661.7777839976,20661.7777839976
2010-08-01,"COMBINED",22291.0680018213,22291.0680018213,22291.0680018213,22291.0680018213,22291.0680018213
2010-09-01,"TBATS",22519.7002755974,23225.9195687425,23599.7694799634,21813.4809824522,21439.6310712313
2010-10-01,"STLF",21237.0475612766,21974.8822414482,22365.4683276049,20499.212881105,20108.6267949484
2010-11-01,"TBATS",21210.2464314306,21992.2930957936,22406.2835926274,20428.1997670676,20014.2092702339
2010-12-01,"DYNREG",23219.6467170908,24192.1870779297,24470.3215694616,21794.640143533,22072.7746350649
2011-01-01,"TBATS",21573.0842349733,22269.5891877573,22638.2966378236,20876.5792821894,20507.871832123
2011-02-01,"TBATS",19161.1975501349,19847.6884820272,20211.0948296489,18474.7066182426,18111.3002706208
2011-03-01,"STLF",22511.1843566159,23382.2595625748,23843.3789224894,21640.1091506569,21178.9897907423
2011-04-01,"ARIMAX",19361.3576444277,19361.3576444277,19361.3576444277,19361.3576444277,19361.3576444277
2011-05-01,"TBATS",22626.7148355895,23329.2611263091,23701.1666674965,21924.1685448699,21552.2630036826
2011-06-01,"NN",17760.0511489478,17760.0511489478,17760.0511489478,17760.0511489478,17760.0511489478
2011-07-01,"TBATS",18564.3991999555,19310.2879829664,19705.1376536224,17818.5104169446,17423.6607462886
2011-08-01,"NN",20558.0695149071,20558.0695149071,20558.0695149071,20558.0695149071,20558.0695149071
2011-09-01,"ARIMAX",21743.6114893468,21743.6114893468,21743.6114893468,21743.6114893468,21743.6114893468
2011-10-01,"ARIMAX",21126.6382930331,21126.6382930331,21126.6382930331,21126.6382930331,21126.6382930331
